time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120804:0500,13.68,96,15,0,15,314.2,2.21,196,101160
20120804:0600,14.66,94.55,112,28.58,104,317.8,2.07,191,101160
20120804:0700,16.06,92.3,246,115.45,196,340.6,2.55,198,101140
20120804:0800,18.13,81.35,530,681.47,140,331,3.79,202,101140
20120804:0900,19.38,78.9,661,732.56,157,340.6,3.59,199,101120
20120804:1000,20.65,73.45,645,432.45,311,338.4,3.72,200,101100
20120804:1100,21.4,69,649,347.75,364,348.2,4,202,101070
20120804:1200,21.98,64.8,521,136.73,408,355,4.21,206,101030
20120804:1300,22.07,61.9,159,0,159,364.2,4.07,210,100980
20120804:1400,21.24,62.4,588,404.1,297,367.4,4,213,100980
20120804:1500,21.67,59.75,435,245.87,284,368.6,3.59,215,100960
20120804:1600,21.38,59.3,309,182.63,221,359.4,3.24,213,100940
20120804:1700,20.95,60.85,103,3.01,102,369,2.48,220,100930
20120804:1800,20.33,67.25,52,5.7,51,360,1.38,244,100930
20120804:1900,19.27,83.35,0,0,0,359.4,0.48,239,100890
20120804:2000,18.65,77.15,0,0,0,337,0.62,115,100890
20120804:2100,15.98,89.25,0,0,0,329.2,1.66,127,100910
20120804:2200,15.07,91.1,0,0,0,334.6,1.72,144,100900
20120804:2300,15.25,91.1,0,0,0,364,1.52,174,100910
20120805:0000,14.84,91.2,0,0,0,346.6,1.45,191,100850
20120805:0100,14.78,91.55,0,0,0,358.05,1.52,189,100821
20120805:0200,15.02,89.25,0,0,0,360.4,1.79,190,100791
20120805:0300,15.11,88,0,0,0,359.8,1.86,187,100761
20120805:0400,15.01,88.5,0,0,0,357.2,1.72,188,100741
20120805:0500,14.79,90.05,13,0,13,347.8,1.66,185,100741
20120805:0600,15.42,89.9,216,466.18,87,334,1.52,171,100741
20120805:0700,16.82,84.45,388,671.91,99,327.2,1.24,192,100741
20120805:0800,18.16,80.6,533,705.91,131,338.6,1.17,192,100741
20120805:0900,19.84,74.6,650,704.79,167,343.8,1.45,192,100731
20120805:1000,20.98,70.2,611,357.28,336,345,2,196,100731
20120805:1100,22,66.95,655,364.78,357,347.4,2.62,197,100691
20120805:1200,22.5,59.6,355,18.21,340,361.4,3.24,202,100671
20120805:1300,22.74,59.4,130,0,130,368.8,3.52,202,100641
20120805:1400,22.95,56.6,372,57.17,331,363,3.45,206,100621
20120805:1500,21.16,66.5,466,328.98,265,368,2.83,216,100551
20120805:1600,21.57,64.65,200,22.99,189,361.6,1.52,195,100571
20120805:1700,21.31,65.65,76,0,76,370.6,1.66,196,100551
20120805:1800,18.93,80.9,45,0,45,374.4,1.86,213,100521
20120805:1900,18.28,83.45,0,0,0,371.4,1.59,207,100511
20120805:2000,17.4,87.85,0,0,0,365.6,2.14,187,100541
20120805:2100,16.68,90.1,0,0,0,358.2,2.55,186,100541
20120805:2200,16.32,89.6,0,0,0,357.4,2.83,190,100541
20120805:2300,16.11,89.6,0,0,0,363.8,3.1,198,100551
20120806:0000,15.81,89.95,0,0,0,358.2,3.38,202,100591
20120806:0100,15.33,90.9,0,0,0,340.25,3.52,207,100601
20120806:0200,15.01,91.35,0,0,0,337.8,3.59,210,100591
20120806:0300,14.65,91.6,0,0,0,330.4,3.66,210,100601
20120806:0400,14.42,91.25,0,0,0,330.4,3.66,209,100581
20120806:0500,14.13,91.4,68,232.18,41,318.8,3.66,206,100601
20120806:0600,14.72,89.4,198,361.98,99,330.4,3.52,205,100641
20120806:0700,15.7,82.95,185,30.44,172,320.8,5.38,213,100691
20120806:0800,16.36,81.6,247,26.47,232,345.4,4.83,217,100721
20120806:0900,17.33,76.8,360,64.46,316,349,5.1,222,100751
20120806:1000,18.23,72.2,149,0,149,338,4.97,222,100761
20120806:1100,18.86,70.9,221,0,221,352.4,5.1,222,100811
20120806:1200,19.67,70.15,496,112.06,404,365.2,5.31,226,100900
20120806:1300,19.27,67.75,345,20.33,329,377,6.21,234,100870
20120806:1400,19.8,70.95,450,144.24,347,364.6,5.52,246,100880
20120806:1500,20.11,69.1,503,444.29,233,365.2,5.17,247,100950
20120806:1600,17.82,73.95,361,349.52,195,370.4,5.1,251,101000
20120806:1700,17.96,71.7,206,200.1,141,360.2,3.79,243,101030
20120806:1800,17.85,70.7,111,298.29,61,345.6,3.93,239,101110
20120806:1900,17.07,71.65,0,0,0,326.4,3.86,241,101180
20120806:2000,16.29,73.9,0,0,0,326.2,4,235,101260
20120806:2100,15.61,74.35,0,0,0,319,4.21,233,101310
20120806:2200,15.17,73.05,0,0,0,322.8,4.34,232,101370
20120806:2300,14.77,73,0,0,0,321.2,4.48,231,101399
20120807:0000,14.42,74.25,0,0,0,318.8,4.55,230,101439
20120807:0100,14.09,76.7,0,0,0,314.45,4.62,229,101459
20120807:0200,13.84,78.7,0,0,0,316,4.55,228,101459
20120807:0300,13.66,80.25,0,0,0,319.4,4.48,228,101489
20120807:0400,13.36,82.45,0,0,0,313.4,4.41,228,101539
20120807:0500,13.27,84.1,19,0,19,317.2,4.28,227,101569
20120807:0600,13.86,83.6,113,37,103,325.6,3.79,226,101649
20120807:0700,15.07,82.2,254,146.21,192,336.8,6,239,101689
20120807:0800,16.2,74.15,232,17.74,222,352,5.38,247,101749
20120807:0900,16.86,68.65,345,52.96,309,339.2,5.1,251,101819
20120807:1000,17.9,61.25,325,17.01,312,338.4,5.59,258,101869
20120807:1100,18.33,57.3,629,321.62,368,343.6,5.59,263,101919
20120807:1200,18.92,54.1,713,494.99,308,357.2,5.03,270,101919
20120807:1300,19,55.2,237,0,237,365.4,4.62,272,101949
20120807:1400,18.78,57.8,95,0,95,365,4.9,269,102008
20120807:1500,18.24,61.9,171,0,171,362,4.83,269,102018
20120807:1600,17.75,65.95,120,0,120,367.8,3.72,267,102038
20120807:1700,17.65,66.15,143,43.61,129,369.8,3.24,258,102028
20120807:1800,17.37,66.9,92,171.18,64,357,2.97,253,102028
20120807:1900,16.84,66.75,0,0,0,335,2.62,249,102088
20120807:2000,15.81,70.8,0,0,0,330,2.48,240,102118
20120807:2100,15.24,73.4,0,0,0,336.2,2.48,239,102128
20120807:2200,14.59,76.35,0,0,0,326.2,2.41,237,102128
20120807:2300,14.09,78.75,0,0,0,325,2.41,237,102128
20120808:0000,13.59,81.6,0,0,0,321.4,2.34,234,102128
20120808:0100,13.32,83.55,0,0,0,326.05,2.28,233,102128
20120808:0200,13.1,85.35,0,0,0,327.8,2.21,231,102108
20120808:0300,12.98,86.7,0,0,0,330.6,2.14,226,102108
20120808:0400,13.15,86.6,0,0,0,345,2.07,222,102108
20120808:0500,13.21,87.6,43,54.9,37,341.2,2,217,102128
20120808:0600,14.18,84.85,137,97.39,111,344.4,2,210,102148
20120808:0700,15.31,84.9,104,0,104,377.2,2.21,210,102158
20120808:0800,16,82.25,176,1.78,175,381.6,2.69,213,102178
20120808:0900,16.71,81.15,210,1.48,209,373.4,3.24,223,102198
20120808:1000,17.8,78,262,2.63,260,387.6,3.86,236,102208
20120808:1100,18.93,72.65,228,0,228,392.85,3.66,244,102218
20120808:1200,19.7,69.6,293,3.68,290,390.8,3.66,253,102198
20120808:1300,20.34,65.75,227,0,227,381,3.66,263,102198
20120808:1400,20.4,65.8,210,0,210,368.6,3.31,269,102168
20120808:1500,20.45,65.65,155,0,155,380,3.1,266,102148
20120808:1600,19.63,70.75,84,0,84,381,2.69,277,102148
20120808:1700,19.18,74.6,190,163.99,138,384,2.21,295,102118
20120808:1800,18.59,79.7,102,269.73,59,383.4,1.17,300,102128
20120808:1900,17.82,84.9,0,0,0,374.2,1.45,309,102128
20120808:2000,17.08,89.05,0,0,0,363.6,1.17,322,102178
20120808:2100,16.43,93.7,0,0,0,368.4,0.97,330,102198
20120808:2200,16.14,95.45,0,0,0,379.4,0.83,343,102248
20120808:2300,16.04,95.8,0,0,0,382,0.76,355,102248
20120809:0000,15.77,96.4,0,0,0,375.4,0.76,16,102248
20120809:0100,15.6,96.5,0,0,0,371.05,0.69,31,102258
20120809:0200,15.7,96.45,0,0,0,349.4,0.48,24,102248
20120809:0300,14.92,98.95,0,0,0,358,0.69,358,102258
20120809:0400,14.07,99.85,0,0,0,364.4,1.1,2,102278
20120809:0500,14.29,99.7,22,0,22,371,0.97,9,102298
20120809:0600,15.17,98.25,100,22.76,94,374.2,1.31,23,102348
20120809:0700,15.38,96.55,250,145.98,189,377.8,1.52,30,102378
20120809:0800,16.88,83.2,433,363.9,230,373,1.66,19,102418
20120809:0900,18.01,76.65,631,673.48,177,356.4,1.66,19,102458
20120809:1000,19.03,70.2,708,643.21,220,362.8,1.66,22,102478
20120809:1100,20.23,63.05,726,559.66,275,362.2,1.72,25,102468
20120809:1200,20.99,57.85,682,432.08,331,345,1.79,21,102458
20120809:1300,21.71,53.95,608,334.29,348,344.4,2.07,17,102448
20120809:1400,21.95,52.05,494,225.7,335,359.8,2.14,13,102448
20120809:1500,21.72,52.85,460,341.47,256,375.2,2.41,11,102418
20120809:1600,21.45,55,382,469.91,164,371.2,2.62,10,102388
20120809:1700,20.95,59.5,243,428,109,364,2.76,10,102388
20120809:1800,20.11,66.8,66,51.55,58,352.2,2.55,11,102388
20120809:1900,18.33,76.8,0,0,0,334.8,2.62,10,102428
20120809:2000,17.17,83.95,0,0,0,337,2.48,14,102478
20120809:2100,16.38,87.9,0,0,0,333.8,2.28,20,102508
20120809:2200,15.72,89.95,0,0,0,326.2,2.14,31,102527
20120809:2300,15.03,91,0,0,0,316.2,2.21,47,102527
20120810:0000,14.47,90.35,0,0,0,314.6,2.21,61,102537
20120810:0100,13.96,89.3,0,0,0,316.45,2.14,68,102527
20120810:0200,13.35,88.95,0,0,0,310.4,2.14,70,102517
20120810:0300,13,88.1,0,0,0,318.6,2.07,71,102508
20120810:0400,12.4,88.7,0,0,0,305.6,2.07,70,102508
20120810:0500,11.99,89,54,176.17,36,300,2.07,70,102537
20120810:0600,13.13,85.2,197,426.43,86,302.4,1.93,73,102567
20120810:0700,14.86,79.4,364,612.49,110,301.4,2.28,76,102577
20120810:0800,16.43,71.25,526,738.94,116,305.6,2.41,77,102577
20120810:0900,17.78,61.55,668,828.38,112,307.2,2.48,74,102577
20120810:1000,18.86,55.95,764,852.07,120,310.2,2.34,67,102567
20120810:1100,19.73,52.5,817,854.37,131,313.6,2.21,57,102537
20120810:1200,20.43,50.2,829,873.55,122,315.4,2.21,49,102498
20120810:1300,20.95,48.95,775,814.61,144,318.2,2.21,42,102468
20120810:1400,21.23,48.65,697,815.87,125,323.6,2.34,39,102438
20120810:1500,21.23,49.3,567,735.92,130,328.6,2.55,40,102408
20120810:1600,21.07,50,427,710.75,100,324.6,2.69,44,102358
20120810:1700,20.74,50.9,258,553.41,87,322.8,2.69,49,102308
20120810:1800,20,56.25,102,338.05,51,321,2.07,47,102308
20120810:1900,18.64,62.45,0,0,0,317.6,2,41,102318
20120810:2000,17.19,68.15,0,0,0,313.8,2.14,37,102338
20120810:2100,15.98,73.6,0,0,0,311.2,2.28,39,102358
20120810:2200,15.05,77.65,0,0,0,309.4,2.34,46,102348
20120810:2300,14.37,79.85,0,0,0,307.2,2.48,55,102318
20120811:0000,13.85,80.7,0,0,0,305,2.55,67,102308
20120811:0100,13.34,81.55,0,0,0,302.6,2.41,74,102268
20120811:0200,12.79,83.25,0,0,0,300.2,2.28,80,102268
20120811:0300,12.2,85.7,0,0,0,298.4,2.14,85,102238
20120811:0400,11.63,87.65,0,0,0,296.4,2.14,87,102218
20120811:0500,11.42,88.65,53,192.77,34,295.2,2.28,86,102218
20120811:0600,12.91,85.5,203,490.43,77,295.4,2.21,84,102198
20120811:0700,15.3,78.95,363,622.1,107,299.4,2.34,84,102188
20120811:0800,17.3,71.5,523,737.58,116,306,2.62,87,102158
20120811:0900,18.9,62.9,661,812.59,118,310.4,3.24,89,102118
20120811:1000,19.95,56.1,753,819.53,136,315.4,3.72,89,102078
20120811:1100,20.69,53.85,800,807.55,154,320.4,3.72,87,102028
20120811:1200,21.31,52.4,799,780.15,170,330.4,3.66,85,101968
20120811:1300,21.74,51.4,759,768.77,166,334.4,3.66,84,101899
20120811:1400,22.18,50.25,683,769.73,146,330.6,3.86,83,101829
20120811:1500,22.33,49.6,560,721.88,134,332,4,84,101749
20120811:1600,22.24,49.5,412,646.73,117,330.8,4,85,101689
20120811:1700,21.83,50.8,247,501.94,94,331,3.72,86,101629
20120811:1800,20.91,55.9,101,355.05,49,329.8,3.03,79,101569
20120811:1900,19.51,60.2,0,0,0,327.4,3.1,80,101559
20120811:2000,18.34,63.1,0,0,0,324.4,3.03,76,101579
20120811:2100,17.44,65.2,0,0,0,322.4,3.38,76,101549
20120811:2200,16.72,67.1,0,0,0,321,3.66,76,101489
20120811:2300,16.09,69.8,0,0,0,320,3.66,77,101459
20120812:0000,15.56,72.65,0,0,0,319,3.45,80,101409
20120812:0100,15.17,74.95,0,0,0,319.85,3.24,86,101350
20120812:0200,14.9,76.05,0,0,0,322.4,3.17,91,101300
20120812:0300,14.62,76.4,0,0,0,320.6,2.97,96,101260
20120812:0400,14.32,76.3,0,0,0,320.2,2.83,97,101230
20120812:0500,14.11,76.3,40,84.27,32,321,2.9,96,101220
20120812:0600,14.63,74.7,135,114.39,106,323.4,2.97,96,101190
20120812:0700,16.15,75.85,297,315.95,168,325,2.97,99,101190
20120812:0800,17.95,69.05,500,645.14,146,322.4,3.1,106,101200
20120812:0900,19.39,65.3,661,826.78,111,332.8,2.97,108,101170
20120812:1000,21.07,61.65,754,834.79,128,331.4,3.03,104,101120
20120812:1100,22.54,58.25,810,853.29,130,337.6,3.38,101,101070
20120812:1200,23.7,55.3,822,871.62,122,343.8,3.72,102,101040
20120812:1300,24.61,53.05,764,796.83,152,348.6,3.79,110,101030
20120812:1400,25.23,51.65,686,798.14,132,353.6,3.45,123,101020
20120812:1500,25.73,48.55,559,733.34,129,359.4,3.1,141,101000
20120812:1600,25.57,49.3,414,681.23,106,394.45,2.41,138,100990
20120812:1700,25.16,52.3,247,525.71,89,389,1.79,133,100980
20120812:1800,23.92,61.3,92,288.8,51,369.2,1.52,108,100950
20120812:1900,22.65,68.95,0,0,0,364.2,1.24,118,100950
20120812:2000,21.25,71.4,0,0,0,355.4,0.83,131,100980
20120812:2100,20.04,74.55,0,0,0,353.4,0.76,234,101020
20120812:2200,18.07,84.2,0,0,0,359,1.66,264,101040
20120812:2300,17.07,87.55,0,0,0,346.2,2.34,273,101080
20120813:0000,16.65,88.55,0,0,0,348.2,2.28,276,101070
20120813:0100,16.32,89.55,0,0,0,350.45,2.14,270,101060
20120813:0200,16.12,89.7,0,0,0,357,1.93,263,101080
20120813:0300,16,89.05,0,0,0,360.2,1.86,260,101080
20120813:0400,15.71,89.2,0,0,0,354.6,1.79,263,101060
20120813:0500,15.42,90.65,45,142.45,32,351,1.59,258,101080
20120813:0600,16.05,90.35,189,423.88,83,350.2,1.03,242,101100
20120813:0700,17.65,83.6,322,437,145,338,0.97,227,101120
20120813:0800,19.04,75.85,481,577.34,166,341.6,0.97,222,101140
20120813:0900,20.65,66.8,626,697.69,164,336.6,0.97,215,101140
20120813:1000,22.04,59.3,714,701.61,190,344.4,0.83,202,101100
20120813:1100,23.17,55.2,606,303.6,365,351,0.76,190,101100
20120813:1200,23.99,52.7,646,372.55,348,361.4,0.69,179,101090
20120813:1300,24.48,50.45,457,109.85,373,370.2,0.76,168,101070
20120813:1400,24.73,49.25,360,59.38,319,368.8,0.83,153,101050
20120813:1500,24.88,48.8,335,103,275,374.4,1.1,143,101040
20120813:1600,24.61,49.85,226,62.5,198,379.2,1.45,141,101020
20120813:1700,24.38,52.25,118,23.63,111,391.45,1.31,173,101030
20120813:1800,23.21,59.65,27,0,27,389,1.45,227,101010
20120813:1900,21.76,69.4,0,0,0,389,1.17,280,101040
20120813:2000,20.59,76.95,0,0,0,386.6,1.1,291,101040
20120813:2100,19.81,80.1,0,0,0,377.8,0.97,302,101080
20120813:2200,19.79,77.45,0,0,0,375,0.69,296,101070
20120813:2300,18.32,86.15,0,0,0,367.4,1.1,258,101080
20120814:0000,17.66,89.5,0,0,0,365.8,1.1,249,101060
20120814:0100,17.78,87.75,0,0,0,356.25,0.9,236,101040
20120814:0200,18.02,86.6,0,0,0,346,0.76,206,101020
20120814:0300,16.28,92.15,0,0,0,339.6,1.1,185,101010
20120814:0400,15.33,95.05,0,0,0,345.6,1.31,179,100990
20120814:0500,15.2,95.5,48,216.97,29,350.4,1.24,171,101000
20120814:0600,16.59,93.05,28,0,28,353,0.83,186,101020
20120814:0700,18.93,88.1,216,94.59,178,358,1.17,191,101040
20120814:0800,20.87,80.8,306,99.55,252,353.6,1.24,200,101050
20120814:0900,22.3,73.25,600,611.44,197,365.8,1.24,205,101070
20120814:1000,23.37,66.65,631,458.48,290,375.8,1.24,206,101100
20120814:1100,23.95,63.05,504,145.45,389,390.4,1.17,218,101100
20120814:1200,24.04,62.95,430,65.28,378,395.65,1.45,217,101090
20120814:1300,23.8,63.3,317,14.45,306,397.45,1.59,213,101100
20120814:1400,23.2,64.65,247,4.37,244,400.05,0.76,193,101080
20120814:1500,23.5,62.9,205,5.19,202,399.65,0.83,135,101080
20120814:1600,22.85,66.25,240,87.87,201,398.65,0.76,214,101070
20120814:1700,22.25,70.45,145,75.4,123,386.2,1.17,296,101050
20120814:1800,21.42,76.45,54,45.2,48,393.8,1.38,345,101060
20120814:1900,21.36,74,0,0,0,389.85,1.66,53,101110
20120814:2000,20.4,78.7,0,0,0,381.2,1.93,60,101130
20120814:2100,19.74,81.95,0,0,0,376,2.21,73,101140
20120814:2200,19.11,84.45,0,0,0,363,2.34,86,101100
20120814:2300,18.77,85.4,0,0,0,363.4,2.34,91,101070
20120815:0000,18.42,86.55,0,0,0,360.2,2.34,89,101010
20120815:0100,17.99,88.6,0,0,0,348.65,2.48,88,100930
20120815:0200,17.87,89.4,0,0,0,354.8,2.55,88,100900
20120815:0300,17.58,91.05,0,0,0,345.2,2.62,90,100850
20120815:0400,17.63,91.4,0,0,0,353.8,2.62,91,100791
20120815:0500,17.62,91.8,26,23.85,24,348.6,2.83,91,100761
20120815:0600,18.52,88.7,142,168.65,101,345.4,2.9,95,100721
20120815:0700,20.6,83.05,345,589.82,110,351,3.38,100,100691
20120815:0800,22.55,74.45,501,691.7,128,358.4,3.66,106,100641
20120815:0900,24.4,67.15,658,853.7,98,369.2,3.79,110,100571
20120815:1000,26.28,60.7,736,800.68,143,373.2,4.14,110,100501
20120815:1100,27.87,55.35,420,62.23,371,380.8,4.55,111,100401
20120815:1200,29.06,51.05,777,747.54,184,386.8,4.69,123,100361
20120815:1300,29.53,50.05,555,260.01,358,400.25,4.48,145,100321
20120815:1400,29.31,52.15,126,0,126,418.85,4.07,145,100262
20120815:1500,28.59,57.15,159,0,159,423.25,3.59,140,100351
20120815:1600,28.19,60.15,283,186.55,201,420.05,3.59,179,100461
20120815:1700,23.04,81.7,151,97.48,123,416.85,5.59,241,100601
20120815:1800,20.65,79.35,30,0,30,400.65,4.41,265,100711
20120815:1900,20.45,59.8,0,0,0,375.2,4.21,267,100830
20120815:2000,19.25,59.1,0,0,0,339,3.38,262,100930
20120815:2100,18.13,62.95,0,0,0,323.2,2.69,253,101000
20120815:2200,17.21,68.35,0,0,0,321.2,1.93,229,101070
20120815:2300,16.22,74.75,0,0,0,322.8,1.86,195,101120
20120816:0000,15.41,78.65,0,0,0,323.4,2,182,101170
20120816:0100,14.86,80.85,0,0,0,317.45,2.28,184,101190
20120816:0200,14.57,81.35,0,0,0,312,2.55,199,101240
20120816:0300,14.78,78.05,0,0,0,323.8,2.76,212,101290
20120816:0400,14.51,76.65,0,0,0,312.4,2.76,215,101330
20120816:0500,14.23,76.95,43,199.73,27,306.2,2.83,214,101380
20120816:0600,14.98,75.85,186,471.67,73,306.8,2.76,210,101429
20120816:0700,16.72,75.7,345,612.54,103,313.4,2.83,208,101489
20120816:0800,18.26,71.3,503,716.39,119,317.8,3.17,212,101539
20120816:0900,19.56,68.05,609,667.9,173,323.8,2.97,213,101589
20120816:1000,20.72,61.65,442,112.55,359,336.8,3.38,218,101599
20120816:1100,21.64,56.25,574,256.32,373,358.6,3.52,215,101619
20120816:1200,22.19,53.25,517,160.79,390,377.6,3.52,216,101599
20120816:1300,22.44,51.8,404,64.98,355,382,3.31,217,101609
20120816:1400,22.64,51.65,471,216.42,324,394.45,2.76,218,101599
20120816:1500,23.02,50.1,398,233.14,265,393.6,2.62,219,101609
20120816:1600,22.86,51.35,224,71.23,193,390.25,2,219,101609
20120816:1700,22.78,52.65,31,0,31,380.6,1.45,228,101589
20120816:1800,22.11,61.75,35,8.12,34,375.8,0.21,303,101589
20120816:1900,20.73,68.25,0,0,0,366.8,1.38,69,101599
20120816:2000,19,75.45,0,0,0,347,1.86,74,101669
20120816:2100,18.45,77.05,0,0,0,366,1.86,102,101659
20120816:2200,17.68,79.05,0,0,0,349.8,2.14,116,101659
20120816:2300,17.49,79.65,0,0,0,362.6,2.28,127,101629
20120817:0000,17.62,77.6,0,0,0,370.6,2.48,138,101619
20120817:0100,17.75,74.7,0,0,0,375.85,2.62,148,101619
20120817:0200,17.57,73.15,0,0,0,367.2,2.76,152,101589
20120817:0300,17.34,72.5,0,0,0,360,2.9,154,101549
20120817:0400,16.96,72.75,0,0,0,348.4,2.97,150,101509
20120817:0500,16.79,72.75,10,0,10,347.2,3.03,150,101509
20120817:0600,17.29,70.85,38,0,38,350.8,3.1,157,101519
20120817:0700,19.03,68.15,125,2.55,124,383.6,3.17,158,101549
20120817:0800,20.36,66.1,414,366.03,219,367.4,3.17,162,101559
20120817:0900,22.1,60.1,456,232.46,305,363.2,3.86,168,101569
20120817:1000,22.63,59.65,656,554.35,249,389,3.66,178,101559
20120817:1100,23.12,59,771,772.23,168,393.45,3.31,175,101529
20120817:1200,24.54,54.45,783,789.7,162,399.65,3.86,173,101529
20120817:1300,26.11,49.95,741,776.94,158,379.8,4.21,180,101509
20120817:1400,27.01,48.25,631,657.47,187,382.2,4.14,188,101469
20120817:1500,27.3,48.55,538,725.76,127,382.4,3.79,193,101459
20120817:1600,27.44,48.85,394,680.17,101,386.4,3.31,192,101469
20120817:1700,27.08,52.75,226,514.47,83,380.4,2.41,174,101419
20120817:1800,25.77,58,76,295.93,41,377.6,2.48,146,101429
20120817:1900,23.85,57.45,0,0,0,364.2,2.9,141,101449
20120817:2000,22.66,59.55,0,0,0,359,2.9,143,101489
20120817:2100,21.71,61.35,0,0,0,354.2,2.9,144,101499
20120817:2200,21.06,61.55,0,0,0,353,3.03,147,101499
20120817:2300,20.49,61.3,0,0,0,347.2,3.1,149,101469
20120818:0000,20,60.85,0,0,0,345.6,3.03,149,101409
20120818:0100,19.55,60.6,0,0,0,342.85,2.97,150,101429
20120818:0200,19.15,60.6,0,0,0,341.2,2.97,152,101399
20120818:0300,18.88,60.8,0,0,0,340,3.1,152,101380
20120818:0400,18.81,61.7,0,0,0,339.2,3.31,151,101360
20120818:0500,18.9,63.65,38,206.77,23,339.6,3.45,150,101350
20120818:0600,19.7,65.25,183,499.05,67,339.6,3.45,154,101340
20120818:0700,21.68,65.9,342,628.41,98,348.6,3.1,147,101340
20120818:0800,24.04,60.75,491,687.52,127,354.4,3.59,155,101340
20120818:0900,26.13,56.5,630,775.18,129,359.6,3.86,163,101350
20120818:1000,27.87,52.85,729,812.7,135,365.4,3.93,172,101340
20120818:1100,29.25,49.85,785,832.19,138,372.6,3.86,176,101320
20120818:1200,30.3,47.85,796,850.76,130,380.6,3.72,182,101300
20120818:1300,31.04,47.05,741,791.56,150,388,3.45,193,101260
20120818:1400,31.42,47.4,658,776.08,137,396.45,3.03,202,101260
20120818:1500,31.53,48.45,527,695.67,136,399.65,2.69,207,101290
20120818:1600,31.38,50.25,368,560.69,129,407.25,2.14,210,101300
20120818:1700,30.94,55.05,217,472.19,88,407.05,1.03,214,101290
20120818:1800,29.79,63.35,55,105.92,43,405.05,0.34,348,101280
20120818:1900,27.29,67.25,0,0,0,387.6,1.38,44,101310
20120818:2000,25.15,76,0,0,0,395.65,1.66,41,101340
20120818:2100,23.62,81.4,0,0,0,388.8,1.79,63,101370
20120818:2200,22.48,85,0,0,0,381.2,1.79,83,101350
20120818:2300,21.7,86.6,0,0,0,382.6,1.72,100,101340
20120819:0000,20.94,86.25,0,0,0,373.4,1.79,114,101310
20120819:0100,20.25,84.3,0,0,0,365.65,1.86,130,101290
20120819:0200,19.88,80.45,0,0,0,362.8,2.21,148,101270
20120819:0300,19.59,76.1,0,0,0,355.2,2.55,154,101250
20120819:0400,19.43,73.45,0,0,0,355.4,2.55,158,101230
20120819:0500,19.37,74.4,30,101.85,23,356.6,2.55,171,101230
20120819:0600,20.63,72.55,168,393.29,78,357.2,2.48,177,101240
20120819:0700,24,69.65,331,582.06,107,371.6,2.55,191,101280
20120819:0800,25.86,64.2,485,672.88,131,372.8,2.76,204,101290
20120819:0900,27.36,61.3,610,704.52,157,378.6,2.55,199,101290
20120819:1000,28.88,57.9,694,696.85,187,383.4,2.83,199,101300
20120819:1100,30.23,55.1,751,727.37,188,391.25,2.83,202,101290
20120819:1200,31.34,53.3,726,628.83,236,398.25,2.9,216,101280
20120819:1300,32.05,52.4,617,420.03,305,404.85,2.76,224,101300
20120819:1400,32.5,51.4,490,271.26,309,410.25,2.48,212,101340
20120819:1500,32.77,50.5,71,0,71,414.85,2.48,199,101270
20120819:1600,32.72,50.7,204,54.55,181,415.85,2.9,192,101230
20120819:1700,32.29,54.55,182,272.03,109,418.85,2.21,196,101180
20120819:1800,31.03,61.4,55,129.34,41,418.65,1.66,208,101280
20120819:1900,27.75,69.05,0,0,0,414.25,1.59,283,101290
20120819:2000,26.36,75.15,0,0,0,418.45,2,320,101310
20120819:2100,25.17,79.95,0,0,0,415.05,2.41,309,101350
20120819:2200,24.13,82.05,0,0,0,403.65,2.76,294,101419
20120819:2300,23,82.15,0,0,0,394,3.1,283,101459
20120820:0000,21.91,80.95,0,0,0,384.4,3.03,274,101489
20120820:0100,20.92,80.95,0,0,0,376.45,2.9,268,101589
20120820:0200,20.01,82.6,0,0,0,367.6,2.76,262,101559
20120820:0300,19.23,85.55,0,0,0,357.6,2.55,253,101559
20120820:0400,18.55,89,0,0,0,348.6,2.41,247,101609
20120820:0500,18.12,91.65,26,77.05,21,348.8,2.41,247,101679
20120820:0600,18.48,91.25,165,399.63,75,348.4,2.41,251,101739
20120820:0700,19.93,89.4,319,527.05,118,368.8,2.41,274,101759
20120820:0800,21.13,85,420,417.05,202,393.45,1.79,276,101799
20120820:0900,22.4,79.85,493,334.56,279,395.85,2.21,258,101819
20120820:1000,23.63,74,647,552.36,247,398.05,3.03,242,101839
20120820:1100,24.02,74.05,551,233.61,371,402.25,2.76,236,101889
20120820:1200,24.27,72.45,531,194.7,380,400.65,2.55,245,101909
20120820:1300,24.98,67,266,4.06,263,398.05,2.62,257,101889
20120820:1400,25.03,64.65,334,49.76,301,401.05,2.9,259,101869
20120820:1500,24.62,64.85,300,79.52,256,401.85,2.62,270,101869
20120820:1600,24.33,65.45,200,50.36,179,388.8,2.55,285,101849
20120820:1700,23.97,66.05,133,87.31,110,371.6,2.48,293,101829
20120820:1800,23.19,68.75,50,116.37,38,369.2,2.21,302,101819
20120820:1900,22.46,71.65,0,0,0,370.8,1.93,310,101839
20120820:2000,21.27,77.45,0,0,0,365.4,1.79,321,101879
20120820:2100,20.21,83.65,0,0,0,361,1.38,335,101879
20120820:2200,19.48,87.55,0,0,0,368,1.59,360,101899
20120820:2300,19,90.55,0,0,0,372.4,1.52,17,101879
20120821:0000,18.11,94.6,0,0,0,357.8,1.24,50,101889
20120821:0100,18.03,94.7,0,0,0,370.05,1.1,72,101849
