time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180326:1000,8.84,71.6,627,891.83,93,281,1.24,260,101569
20180326:1100,9.67,68.85,568,467.31,265,280,1.86,275,101569
20180326:1200,10.14,70.3,82,0,82,289.4,2.48,285,101559
20180326:1300,10.49,69.85,513,381.81,276,288.8,2.9,295,101549
20180326:1400,10.56,68.05,394,238.4,264,291,3.52,304,101549
20180326:1500,10,62.75,407,664.7,118,298.8,4.07,312,101579
20180326:1600,9.2,65.7,257,579.76,85,301,3.59,319,101599
20180326:1700,8.3,72,101,427.38,41,267.2,2.34,325,101569
20180326:1800,6.81,79.45,0,0,0,252.4,1.86,319,101569
20180326:1900,5.53,88.05,0,0,0,247.8,1.24,318,101589
20180326:2000,5.59,85.05,0,0,0,243.2,0.69,303,101619
20180326:2100,5,88.1,0,0,0,243.6,0.41,230,101599
20180326:2200,3.09,92.35,0,0,0,240.8,1.31,193,101579
20180326:2300,0.83,95.8,0,0,0,251,1.86,189,101549
20180327:0000,0.31,96.25,0,0,0,254.6,1.93,185,101489
20180327:0100,0.28,95.5,0,0,0,254.2,2.14,180,101449
20180327:0200,0.38,94.75,0,0,0,255.2,2.28,176,101350
20180327:0300,0.42,94,0,0,0,252.8,2.28,177,101330
20180327:0400,0.46,93.35,0,0,0,253.4,2.34,174,101240
20180327:0500,0.76,92.5,0,0,0,260.6,2.41,169,101160
20180327:0600,1.62,91.4,29,33.46,26,279.6,2.55,165,101110
20180327:0700,4.09,83.6,40,0,40,303.4,3.03,168,101020
20180327:0800,5.73,80.35,212,83.5,179,303.6,3.1,175,100950
20180327:0900,7.11,76.4,272,65.88,238,309.4,3.52,187,100890
20180327:1000,7.52,74.05,191,0,191,313.4,4.34,192,100850
20180327:1100,7.57,77.4,206,0,206,320.4,5.66,188,100751
20180327:1200,7.05,84.65,74,0,74,320,5.52,179,100611
20180327:1300,6.34,90.45,106,0,106,333.2,5.03,174,100511
20180327:1400,6.11,92.3,145,0,145,335.2,4.83,174,100431
20180327:1500,6.07,92.95,121,0,121,336.2,4.34,179,100321
20180327:1600,6.37,95.05,74,0,74,338.6,3.66,191,100262
20180327:1700,6.98,96.6,30,0,30,340.6,3.1,212,100242
20180327:1800,7.66,96.7,0,0,0,344.4,2.76,235,100271
20180327:1900,8.23,97,0,0,0,341.2,3.17,254,100311
20180327:2000,8.49,96.75,0,0,0,342.6,2.97,253,100331
20180327:2100,8.46,96.65,0,0,0,349,2.76,248,100331
20180327:2200,8.41,96.45,0,0,0,353.2,2.76,251,100391
20180327:2300,8.33,96.55,0,0,0,352.2,3.03,264,100421
20180328:0000,8.26,96,0,0,0,352.2,3.31,278,100451
20180328:0100,8.05,95,0,0,0,346.05,3.45,282,100451
20180328:0200,7.74,93.75,0,0,0,337.4,3.45,278,100491
20180328:0300,7.21,93.9,0,0,0,322,3.03,266,100421
20180328:0400,6.51,95.6,0,0,0,308.8,2.97,249,100421
20180328:0500,5.88,95.85,0,0,0,299,3.1,239,100401
20180328:0600,5.67,95.45,11,0,11,312.8,2.83,230,100341
20180328:0700,6.07,94.8,57,0,57,325.6,2.69,214,100271
20180328:0800,6.59,93.95,154,12.47,149,313.6,3.1,207,100212
20180328:0900,7.07,92.7,99,0,99,325.2,3.31,202,100152
20180328:1000,7.09,88.45,103,0,103,332.6,3.17,196,100032
20180328:1100,6.8,87.9,140,0,140,335.2,2.21,176,99892
20180328:1200,6.73,89,152,0,152,336,1.31,111,99703
20180328:1300,6.79,90.55,87,0,87,337.4,1.79,39,99573
20180328:1400,6.55,92.3,66,0,66,338.8,2.69,4,99513
20180328:1500,6.04,93.4,82,0,82,339.2,2.97,335,99603
20180328:1600,5.69,94.45,133,36,122,337.4,3.24,300,99762
20180328:1700,5.27,94.3,50,20.1,47,332.8,4.28,288,99902
20180328:1800,4.63,94.2,0,0,0,330.2,4.48,292,100042
20180328:1900,3.94,92.55,0,0,0,325.6,3.66,287,100142
20180328:2000,4.01,90.55,0,0,0,319,3.38,270,100232
20180328:2100,4.19,89.45,0,0,0,321.4,3.17,258,100252
20180328:2200,4.31,88.9,0,0,0,318.6,2.97,248,100271
20180328:2300,3.99,90.35,0,0,0,297.4,2.76,232,100311
20180329:0000,3.5,92.15,0,0,0,277,2.97,224,100331
20180329:0100,3.28,93.25,0,0,0,277,3.03,226,100311
20180329:0200,2.72,94.35,0,0,0,256.8,2.9,229,100331
20180329:0300,2.31,95.1,0,0,0,252.6,2.76,228,100331
20180329:0400,2.21,95.45,0,0,0,266.8,2.76,224,100331
20180329:0500,2.05,95.6,0,0,0,264.8,2.83,220,100351
20180329:0600,1.97,95.6,21,0,21,261.6,2.9,218,100361
20180329:0700,3.3,93.6,201,397.23,97,275.8,2.34,213,100361
20180329:0800,4.96,85.4,394,756.84,86,270.8,3.79,223,100401
20180329:0900,6.06,83.75,455,466.36,209,280.6,3.45,223,100391
